symbol,baseMean,log2_FoldChange,lfcSE,stat,minus_log10_pvalue,minus_log10_padjvalue
LHX4,9,-1.605,1,-1.7,1.01,0.52
LINC00471,7,0.697,1,0.7,0.32,0.16
LINC00595,9,0.581,1,0.6,0.25,0.12
LINC00642,5,-0.262,1,-0.3,0.1,0.05
LINC01151,10,-1.117,1,-1.1,0.58,0.3
LINC01226,7,-1.595,1,-1.7,1.02,0.52
LINC01347.1,6,-2.094,1,-2,1.38,0.7
LINC01754,6,1.916,1,1.9,1.23,0.62
LINC01825,24,2.219,1,2.3,1.7,0.85
LINC02362,6,0.715,1,0.7,0.33,0.16
LINC02416,5,2.271,1,2.3,1.66,0.84
LINC02660,9,1.708,1,1.8,1.13,0.58
LINC02967,5,0.879,1,0.9,0.44,0.22
LMLN.AS1,5,-0.706,1,-0.7,0.32,0.16
LSMEM1,6,-2.282,1,-2.4,1.78,0.89
LURAP1L,6,-2.409,1,-2.5,1.93,0.95
LY6E.DT,8,2.044,1,2.1,1.5,0.76
MAMDC4,12,-1.728,1,-1.8,1.14,0.58
MAPK8IP1,6,0.796,1,0.8,0.36,0.18
MEIKIN,9,-1.048,1,-1,0.5,0.25
MEIS1.AS2,8,-0.381,1,-0.4,0.15,0.07
MIR1302.9HG,6,-1.215,1,-1.2,0.63,0.32
MIR23AHG,228,-1.105,1,-1.2,0.6,0.31
MIXL1,9,2.2,1,2.3,1.63,0.82
MKI67,165,2.398,1,2.4,1.74,0.87
MPV17L,6,-1.98,1,-1.9,1.23,0.62
MYADM.AS1,5,-1.403,1,-1.3,0.75,0.39
MYBPC3,10,-2.196,1,-2.2,1.54,0.78
MYH3,27,-2.126,1,-2.1,1.49,0.76
MYOM2,477,1.268,1,1.3,0.73,0.38
NAMPT.AS1,6,0.739,1,0.7,0.32,0.16
NIPAL1,7,0.846,1,0.9,0.42,0.21
NR1I3,7,-0.325,1,-0.3,0.14,0.06
OBSCN.AS1,5,-1.189,1,-1.1,0.6,0.31
OR2W3,10,-0.965,1,-1,0.5,0.25
PADI6,6,-1.432,1,-1.5,0.87,0.45
PARD3B,6,-0.848,1,-0.9,0.41,0.21
PAX8.AS1,197,-0.018,1,0,0.01,0
PCDHGB5,6,1.133,1,1.2,0.61,0.31
PGA4,10,1.071,1,1,0.52,0.26
PKD1P6.NPIPP1,80,-1.11,1,-1.1,0.59,0.3
PLAAT1,10,-0.183,1,-0.2,0.07,0.03
PLEKHH1,9,-1.187,1,-1.2,0.6,0.31
PM20D1.AS1,10,-0.951,1,-1,0.48,0.24
POC1B.GALNT4,35,0.409,1,0.4,0.17,0.08
POLR2J4,10,2.259,1,2.2,1.57,0.79
POM121L9P.1,12,-1.078,1,-1.1,0.55,0.28
PPP1R9A,16,-0.545,1,-0.6,0.23,0.11
PPP5C.AS1,7,2.615,1,2.6,2.01,0.99
PRDM5,9,0.54,1,0.6,0.24,0.12
PRKAG3,10,-1.285,1,-1.3,0.72,0.37
PRSS35,8,-0.77,1,-0.8,0.37,0.18
PTGES3L,5,-1.474,1,-1.5,0.86,0.44
PTPRF,24,0.501,1,0.5,0.2,0.1
RAPGEF5,10,0.974,1,1,0.47,0.24
RBFOX2,7,-0.204,1,-0.2,0.08,0.03
RLIMP2,7,-0.743,1,-0.7,0.33,0.16
RNF152,5,0.071,1,0.1,0.02,0.01
RNF217.AS1,5,-1.315,1,-1.3,0.73,0.37
ROR1,5,0.032,1,0,0.01,0.01
RPL13P12,379,0.381,1,0.4,0.15,0.07
RPS6KA6,8,1.137,1,1.1,0.59,0.3
SAPCD1,10,-1.647,1,-1.6,0.96,0.49
SCAT1,7,0.307,1,0.3,0.12,0.06
SEC22B4P,13,2.806,1,2.8,2.28,1.11
SELENBP1,6,-0.761,1,-0.8,0.36,0.18
SEMA3G,8,1.132,1,1.2,0.62,0.32
SEMA6A.AS1,8,-2.403,1,-2.4,1.74,0.87
SHANK1,7,0.534,1,0.5,0.21,0.1
SIGLEC1,567,-1.535,1,-1.5,0.89,0.45
SIGLEC14,1260,-0.075,1,-0.1,0.03,0.01
SLC35D3,9,-0.527,1,-0.5,0.22,0.11
SLCO5A1,6,2.916,1,2.8,2.35,1.14
SOX5,13,1.245,1,1.3,0.68,0.35
SPAG17,12,1.216,1,1.2,0.61,0.31
SPESP1,12,0.552,1,0.6,0.24,0.12
SPTBN5,15,-2.013,1,-2,1.3,0.66
ST18,5,0.162,1,0.2,0.06,0.03
STKLD1,5,0.25,1,0.2,0.09,0.04
SULT1A4,86,0.409,1,0.4,0.16,0.08
SYN1,9,-0.975,1,-1,0.5,0.26
SYT1,8,2.269,1,2.3,1.64,0.83
TBC1D3L,67,-1.373,1,-1.3,0.73,0.37
TG,6,-0.136,1,-0.1,0.05,0.02
TGFB2,17,-1.324,1,-1.3,0.73,0.38
TMEM176A,318,-0.351,1,-0.4,0.14,0.07
TMEM178B,12,3.52,1,3.4,3.18,1.5
TMEM276.ZFTRAF1,72,-1.622,1,-1.6,0.92,0.47
TNNT3,6,-1.189,1,-1.1,0.6,0.31
TRBV10.1,11,2.26,1,2.2,1.59,0.8
TSHR,8,2.432,1,2.5,1.89,0.94
UTS2B,5,0.643,1,0.6,0.28,0.14
UTS2R,5,1.133,1,1.2,0.63,0.32
YJEFN3,23,-1.766,1,-1.7,1.08,0.55
ZBTB7C,8,-2.212,1,-2.2,1.5,0.76
ZNF295.AS1,7,0.631,1,0.7,0.29,0.14
ZNF350.AS1,9,-0.304,1,-0.3,0.12,0.06
ZNF436.AS1,5,-1.345,1,-1.3,0.74,0.38
ZRANB2.DT,9,-0.14,1,-0.1,0.05,0.02
ABCA6,26,-0.374,0.9,-0.4,0.18,0.08
ACKR2,5,-0.905,0.9,-1,0.53,0.27
ADCY4,18,-1.094,0.9,-1.2,0.64,0.33
ADGRB1,11,-0.844,0.9,-1,0.47,0.24
ADGRF3,6,-2.403,0.9,-2.7,2.11,1.03
AICDA,7,1.336,0.9,1.6,0.92,0.47
ALOX15,5,0.138,0.9,0.2,0.06,0.03
AMT,17,-1.362,0.9,-1.5,0.85,0.43
ANKRD36C,20,-0.904,0.9,-1,0.51,0.26
ANXA8L1,6,-1.63,0.9,-1.8,1.17,0.6
APRG1,7,-0.088,0.9,-0.1,0.04,0.02
ARHGEF28,9,1.515,0.9,1.6,0.96,0.49
BCL2L2.PABPN1,9,-2.097,0.9,-2.2,1.6,0.81
BEGAIN,9,-0.952,0.9,-1.1,0.56,0.28
BMS1P14.1,5,-0.313,0.9,-0.3,0.13,0.06
BNC2,18,-0.143,0.9,-0.2,0.06,0.03
BRICD5,8,-2.641,0.9,-3,2.6,1.24
BRME1,9,-1.739,0.9,-1.9,1.23,0.62
C1orf167,11,-1.373,0.9,-1.6,0.96,0.49
C1QC,23,0.816,0.9,0.9,0.45,0.23
C2orf92,8,-1.89,0.9,-2.2,1.55,0.78
C4A,21,-0.521,0.9,-0.6,0.24,0.12
C4B,18,-2.028,0.9,-2.3,1.62,0.81
C4orf36.1,5,0.879,0.9,0.9,0.46,0.23
CACNA1C,7,-1.348,0.9,-1.4,0.83,0.42
CAPN10.DT,13,-0.111,0.9,-0.1,0.05,0.02
CASC8,11,1.36,0.9,1.6,0.93,0.48
CCDC200,9,-1.794,0.9,-2,1.34,0.68
CCDC39,28,-0.57,0.9,-0.6,0.28,0.14
CCDC80,10,-1.796,0.9,-1.9,1.27,0.64
CD207,13,1.016,0.9,1.1,0.59,0.3
CDC20,58,2.242,0.9,2.5,1.94,0.96
CDC45,26,1.24,0.9,1.3,0.75,0.38
CDCA2,34,2.053,0.9,2.4,1.8,0.9
CDHR2,6,-0.303,0.9,-0.4,0.14,0.07
CELF2.AS1,17,-1.089,0.9,-1.2,0.61,0.31
CFAP70,7,0.253,0.9,0.3,0.11,0.05
CHL1,26,1.919,0.9,2,1.37,0.69
CHRM3,11,-3.319,0.9,-3.6,3.55,1.68
CIT,19,1.853,0.9,2.2,1.53,0.77
COL23A1,7,-0.24,0.9,-0.3,0.1,0.05
COL4A3,21,-0.474,0.9,-0.5,0.23,0.11
COL5A1,5,0.235,0.9,0.2,0.09,0.04
COLEC12,15,-1.436,0.9,-1.5,0.89,0.46
CORO2B,26,1.499,0.9,1.6,0.99,0.51
CPNE7,8,1.32,0.9,1.5,0.85,0.43
CT47A12,8,-1.082,0.9,-1.2,0.65,0.33
CTSV,12,-0.638,0.9,-0.7,0.33,0.16
CXADR,5,0.174,0.9,0.2,0.07,0.03
CYP2D7,14,-1.898,0.9,-2.1,1.47,0.74
CYP2J2,13,0.783,0.9,0.9,0.44,0.22
DDX19A.DT,7,0.735,0.9,0.8,0.4,0.2
DEPDC4,7,0.721,0.9,0.8,0.38,0.19
DGKK,22,-0.014,0.9,0,0.01,0
DHRSX,113,0.966,0.9,1,0.51,0.26
DHRSX.1,59,-0.66,0.9,-0.8,0.36,0.18
DMRTC1,9,1.978,0.9,2.2,1.51,0.77
DTX2P1,12,-0.927,0.9,-1.1,0.56,0.28
DUSP8P5,8,-1.47,0.9,-1.6,0.94,0.48
DUXAP8,8,-0.095,0.9,-0.1,0.04,0.02
EFCAB10,10,-2.008,0.9,-2.3,1.65,0.83
EHBP1.AS1,5,-1.301,0.9,-1.5,0.87,0.45
ELF3.AS1,23,-1.718,0.9,-2,1.34,0.68
EOLA2.DT,31,-1.769,0.9,-1.9,1.29,0.65
EVPL,7,-1.44,0.9,-1.6,0.92,0.47
FAM149A,7,1.198,0.9,1.4,0.76,0.39
FAM81B,23,-0.397,0.9,-0.4,0.18,0.09
FAM86B1,10,-0.535,0.9,-0.6,0.27,0.13
FAT4,12,-2.716,0.9,-3,2.51,1.21
FHAD1,6,0.562,0.9,0.6,0.28,0.14
FIGNL2,7,0.283,0.9,0.3,0.13,0.06
FLACC1,6,-0.963,0.9,-1,0.51,0.26
FMNL1.AS1,34,-2.449,0.9,-2.6,2.08,1.02
FN1,35,0.546,0.9,0.6,0.27,0.13
FNDC11,6,-0.255,0.9,-0.3,0.11,0.05
FRMD6,18,-1.721,0.9,-2,1.34,0.68
GABRR2,7,-1.308,0.9,-1.4,0.78,0.4
GFAP,8,0.559,0.9,0.6,0.26,0.13
GFPT2,12,1.605,0.9,1.8,1.18,0.6
GOLGA6L10,5,-0.239,0.9,-0.3,0.1,0.04
GOLGA8H,21,-1.899,0.9,-2.2,1.56,0.78
GPM6A,23,0.61,0.9,0.7,0.29,0.14
GPRC5D,25,2.313,0.9,2.5,1.85,0.92
GRIN2C,6,-1.966,0.9,-2.1,1.43,0.72
GRTP1,7,-1.409,0.9,-1.5,0.88,0.45
GSTO2,9,1.38,0.9,1.6,0.96,0.49
GTF2IP4,396,-0.395,0.9,-0.4,0.17,0.08
H2AC13,5,0.087,0.9,0.1,0.03,0.01
H2AZ1.DT,8,-1.691,0.9,-1.9,1.28,0.65
H2BC17,13,0.432,0.9,0.5,0.2,0.1
H2BC26,7,-0.158,0.9,-0.2,0.07,0.03
H2BP1.1,9,-1.799,0.9,-1.9,1.28,0.65
HASPIN,11,1.301,0.9,1.5,0.87,0.45
HRH4,18,0.064,0.9,0.1,0.03,0.01
HRK,19,2.469,0.9,2.9,2.38,1.16
HSPE1.MOB4,54,0.404,0.9,0.5,0.19,0.09
ICAM5,5,-1.802,0.9,-2,1.29,0.66
IFIT1,1068,0.065,0.9,0.1,0.03,0.01
IGFBP6,15,-0.27,0.9,-0.3,0.12,0.06
IGHE,26,1.581,0.9,1.8,1.13,0.58
IGHG1,3298,3.313,0.9,3.5,3.4,1.61
IGHV2.70,36,2.244,0.9,2.5,1.92,0.95
IGHV3.64,10,2.595,0.9,2.8,2.31,1.13
IGHV3.69.1,5,2.695,0.9,2.9,2.47,1.19
IGHV4.28,5,1.63,0.9,1.9,1.22,0.62
IGKV1.9,236,3.073,0.9,3.3,3.04,1.43
IGKV1D.12,11,0.733,0.9,0.8,0.39,0.2
IGKV3D.11,14,3.309,0.9,3.8,3.81,1.81
IGKV3D.15,71,2.051,0.9,2.4,1.75,0.87
IGLV2.18,30,3.208,0.9,3.7,3.61,1.7
IGLV3.19,390,3.788,0.9,4.3,4.83,2.41
IL20RB,5,-0.58,0.9,-0.6,0.27,0.13
IL6ST.DT,5,0.289,0.9,0.3,0.12,0.06
ILDR1,5,1.799,0.9,2,1.29,0.66
ILDR2,12,-1.133,0.9,-1.3,0.7,0.36
IQCH,7,0.075,0.9,0.1,0.03,0.01
IRAG1.AS1,6,1.575,0.9,1.7,1.09,0.56
ITGA9,20,0.156,0.9,0.2,0.07,0.03
JAM2,9,-2.462,0.9,-2.6,2.09,1.02
KCNN3,21,2.12,0.9,2.3,1.66,0.83
KDM2B.DT,9,-0.919,0.9,-1,0.52,0.26
KIF28P,12,-0.894,0.9,-1,0.47,0.24
KIF2C,42,2.236,0.9,2.5,1.91,0.95
KIRREL3,11,-1.106,0.9,-1.2,0.65,0.33
KITLG,5,-1.371,0.9,-1.5,0.88,0.45
KLHL7.DT,10,1.228,0.9,1.4,0.75,0.39
KRT23,12,-1.409,0.9,-1.6,0.93,0.48
KRT7,7,0.136,0.9,0.2,0.06,0.03
LAMB3,11,-0.843,0.9,-1,0.49,0.25
LCMT1.AS1,6,-0.066,0.9,-0.1,0.03,0.01
LGALS9B,18,-1.166,0.9,-1.4,0.76,0.39
LIMS4,30,-1.005,0.9,-1.2,0.62,0.32
LINC00237,5,0.715,0.9,0.8,0.36,0.18
LINC00511,9,1.796,0.9,1.9,1.27,0.64
LINC00534,18,-0.301,0.9,-0.3,0.13,0.06
LINC00954,30,-1.978,0.9,-2.2,1.57,0.79
LINC01281,6,0.855,0.9,1,0.48,0.25
LINC01750,10,-0.977,0.9,-1.1,0.58,0.3
LINC02139,7,-0.573,0.9,-0.7,0.29,0.15
LINC02280,8,-1.512,0.9,-1.7,1.05,0.54
LINC02345,22,-0.633,0.9,-0.7,0.33,0.17
LINC02356,9,-0.691,0.9,-0.7,0.34,0.17
LINC02427,8,1.074,0.9,1.2,0.66,0.34
LINC02447,5,0.849,0.9,0.9,0.45,0.23
LINC02541,6,0.753,0.9,0.9,0.42,0.21
LINC02555,9,0.044,0.9,0,0.02,0.01
LINC02878,5,-0.517,0.9,-0.6,0.24,0.12
LINC02972,31,0.89,0.9,1,0.5,0.25
LINC03057,10,3.624,0.9,3.9,3.95,1.89
LINC03060,5,0.851,0.9,0.9,0.44,0.22
LIPH,9,0.353,0.9,0.4,0.17,0.08
LNCAROD,9,-2.064,0.9,-2.4,1.8,0.9
LRRC37A4P,19,-1.126,0.9,-1.2,0.67,0.34
LRRN2,14,-1.802,0.9,-2.1,1.46,0.74
LYG1,13,-1.325,0.9,-1.5,0.85,0.44
LYPD2,42,0.063,0.9,0.1,0.03,0.01
MAOB,5,-0.365,0.9,-0.4,0.16,0.08
MAP2K4P1.1,6,0.041,0.9,0,0.02,0.01
MARCHF10,7,0.05,0.9,0.1,0.02,0.01
MIAT,345,-0.887,0.9,-1,0.52,0.26
MIOS.DT,14,0.246,0.9,0.3,0.11,0.05
MIR3677HG,8,-0.573,0.9,-0.6,0.27,0.13
MRPS30.DT,12,1.276,0.9,1.4,0.78,0.4
MS4A4E,32,-2.331,0.9,-2.7,2.12,1.04
MSH5.SAPCD1,18,-0.815,0.9,-0.9,0.46,0.23
MST1,16,-1.858,0.9,-2.1,1.46,0.74
MUC20,12,-0.344,0.9,-0.4,0.16,0.08
MYG1.AS1,130,-1.819,0.9,-2,1.31,0.66
MYH11,6,-0.668,0.9,-0.8,0.36,0.18
MYO3B,12,0.99,0.9,1.1,0.57,0.29
NALT1,6,-1.51,0.9,-1.7,1.07,0.55
NAT8L,6,-0.74,0.9,-0.8,0.38,0.19
NEB,11,-0.709,0.9,-0.8,0.36,0.18
NEXN.AS1,5,-1.449,0.9,-1.6,0.99,0.51
NHIP,11,-0.493,0.9,-0.6,0.24,0.12
NIM1K,5,-0.075,0.9,-0.1,0.03,0.01
NIPAL4,12,1.937,0.9,2.3,1.61,0.81
NPAS1,6,-2.096,0.9,-2.4,1.83,0.91
NPB,7,0.102,0.9,0.1,0.04,0.02
NPIPA7,22,-1.155,0.9,-1.3,0.68,0.35
NUMA1.AS1,44,-4.247,0.9,-4.9,6.01,3.13
NXPH4,8,1.187,0.9,1.3,0.71,0.36
ODAD4,6,0.142,0.9,0.2,0.06,0.03
OIP5,12,2.366,0.9,2.6,2.04,1.01
OSBPL6,5,-2.227,0.9,-2.4,1.73,0.87
OTOF,32,1.483,0.9,1.7,1.06,0.55
PAK3,6,0.758,0.9,0.8,0.39,0.2
PCDHGA10,5,0.51,0.9,0.6,0.26,0.13
PCSK4,6,-0.692,0.9,-0.8,0.36,0.18
PDGFRA,37,-1.449,0.9,-1.7,1.02,0.52
PDLIM1P4,6,-1.986,0.9,-2.3,1.7,0.85
PF4V1,182,-0.691,0.9,-0.7,0.34,0.17
PGGHG,836,-1.684,0.9,-1.8,1.15,0.59
PHLDB1,6,0.424,0.9,0.5,0.2,0.09
PIF1,13,1.883,0.9,2.1,1.44,0.73
PJVK,6,-1.193,0.9,-1.3,0.71,0.36
PLA2G2C,8,0.998,0.9,1.1,0.57,0.29
PLA2G4B,48,-1.586,0.9,-1.7,1.06,0.54
PLAAT2,19,2.595,0.9,3,2.57,1.23
PLCD4,7,-1.325,0.9,-1.4,0.81,0.41
PLCG1.AS1,10,-1.769,0.9,-2,1.33,0.67
PLIN3.AS1,30,-3.002,0.9,-3.4,3.17,1.49
PLXNB3,15,-1.08,0.9,-1.2,0.62,0.32
PM20D1,6,1.009,0.9,1.1,0.56,0.28
POLQ,18,2.034,0.9,2.3,1.69,0.85
PPARGC1A,9,-0.682,0.9,-0.7,0.34,0.17
PPP1CB.DT,8,-0.48,0.9,-0.6,0.24,0.12
PPP2R3B,22,-0.808,0.9,-0.9,0.41,0.21
PRADX,9,-1.892,0.9,-2.1,1.46,0.74
PRCD,14,1.841,0.9,2.1,1.41,0.71
PREP.AS1,9,-1.301,0.9,-1.5,0.86,0.44
PRKG1,10,0.147,0.9,0.2,0.06,0.03
PRKN,14,0.101,0.9,0.1,0.04,0.02
PRR19,5,-0.701,0.9,-0.8,0.36,0.18
PRR22,5,-0.732,0.9,-0.8,0.39,0.19
PRR4,13,-1.288,0.9,-1.5,0.85,0.43
PRSS53,27,-1.888,0.9,-2.2,1.51,0.77
PTGER3,13,-0.065,0.9,-0.1,0.03,0.01
PTGFRN,119,-0.425,0.9,-0.5,0.19,0.09
PTOV1.AS1,25,-2.78,0.9,-3.2,2.85,1.35
PTOV1.AS2,24,-1.441,0.9,-1.6,1,0.51
PTPRB,11,-0.158,0.9,-0.2,0.06,0.03
PTPRB.AS1,15,1.989,0.9,2.3,1.71,0.85
PWP2,114,-0.65,0.9,-0.7,0.31,0.16
RALGPS2.AS1,7,0.901,0.9,1,0.49,0.25
RASGRF2.AS1,5,-0.737,0.9,-0.8,0.36,0.18
RBM44,10,-0.978,0.9,-1.1,0.58,0.3
RBPMS2,30,0.739,0.9,0.8,0.37,0.19
REEP1,12,0.788,0.9,0.9,0.41,0.21
RETN,374,-0.936,0.9,-1,0.5,0.26
RETREG1.AS1,6,0.393,0.9,0.5,0.19,0.09
RFPL3S,8,-1.605,0.9,-1.8,1.1,0.56
RGS2.AS1,6,-0.56,0.9,-0.6,0.28,0.14
RGS7,5,1.007,0.9,1.1,0.6,0.31
RHEX,8,1.928,0.9,2.1,1.46,0.74
RHOXF1P3,6,0.898,0.9,1,0.51,0.26
RNASE1,52,2.23,0.9,2.4,1.83,0.91
RNF32.AS1,8,-0.655,0.9,-0.7,0.33,0.16
RPL21P53,5,0.416,0.9,0.5,0.2,0.1
RPS17P16,36,1.224,0.9,1.4,0.81,0.41
RRM2,453,2.649,0.9,3.1,2.69,1.29
RSPH10B,33,-0.795,0.9,-0.9,0.45,0.23
RSPH14,12,-0.372,0.9,-0.4,0.16,0.08
SAP25,18,-1.835,0.9,-2.1,1.49,0.76
SBNO1.AS1,12,-1.164,0.9,-1.2,0.67,0.34
SCN8A,8,1.453,0.9,1.6,0.99,0.51
SCUBE2,9,-1.287,0.9,-1.5,0.87,0.44
SEC31B,138,-1.887,0.9,-2,1.38,0.7
SEMA6B,23,1.52,0.9,1.8,1.1,0.56
SERPINB10,34,-0.907,0.9,-1,0.49,0.25
SHISA2,7,2.635,0.9,2.8,2.3,1.13
SLC38A11,23,0.812,0.9,0.9,0.41,0.21
SLC5A2,17,-1.252,0.9,-1.3,0.74,0.38
SLC5A4.AS1,7,-0.904,0.9,-1,0.51,0.26
SLC9A3.AS1,27,-1.222,0.9,-1.3,0.73,0.37
SLCO4A1,12,2.145,0.9,2.4,1.79,0.89
SLITRK5,7,-0.561,0.9,-0.6,0.26,0.13
SMG1P7.1,23,-1.692,0.9,-1.9,1.21,0.62
SMN2,492,0.236,0.9,0.3,0.11,0.05
SORBS2,11,0.496,0.9,0.5,0.23,0.11
SPATA1,9,-1.064,0.9,-1.2,0.67,0.34
SPICE1.CFAP44,20,-1.324,0.9,-1.5,0.89,0.46
SPTLC3,11,-0.559,0.9,-0.6,0.27,0.13
SRI.AS1,8,-0.379,0.9,-0.4,0.18,0.09
ST7.AS1,6,-0.314,0.9,-0.4,0.14,0.07
STX5.DT,17,-1.804,0.9,-2,1.33,0.67
STXBP6,6,0.669,0.9,0.7,0.34,0.17
SUSD5,6,1.357,0.9,1.4,0.83,0.42
SYT15,6,-1.607,0.9,-1.8,1.12,0.57
SYT15.AS1,13,-0.342,0.9,-0.4,0.15,0.07
TAS2R4,9,-0.729,0.9,-0.8,0.36,0.18
TBC1D3,9,-1.589,0.9,-1.8,1.16,0.59
TBC1D3F,9,-2.549,0.9,-2.7,2.21,1.08
TEAD2,13,1.476,0.9,1.6,1,0.51
TEPSIN.AS1,17,-1.775,0.9,-2,1.36,0.69
THEM5,7,-0.198,0.9,-0.2,0.08,0.04
TICRR,11,1.072,0.9,1.2,0.67,0.34
TIE1,9,0.042,0.9,0,0.02,0.01
TMEM191B,7,0.17,0.9,0.2,0.07,0.03
TNFSF12.TNFSF13,276,-0.587,0.9,-0.7,0.29,0.14
TRDV3,14,2.567,0.9,2.9,2.43,1.18
TREX2,6,0.862,0.9,1,0.47,0.24
TRGV5,31,1.211,0.9,1.3,0.73,0.38
TRIM6,10,-0.228,0.9,-0.3,0.1,0.05
TRIM73,14,-1.082,0.9,-1.2,0.64,0.33
TROAP,21,2.069,0.9,2.3,1.62,0.82
TSPAN10,10,0.741,0.9,0.8,0.4,0.2
TSPAN16.AS1,36,-1.00E-03,0.9,0.00E+00,0,0
TTC34,6,-1.674,0.9,-1.8,1.13,0.58
TVP23C.CDRT4,11,0.136,0.9,0.2,0.06,0.03
TYMS,216,2.386,0.9,2.6,2.07,1.02
UBE2C,38,1.953,0.9,2.2,1.61,0.81
VPS11.DT,6,-0.963,0.9,-1.1,0.55,0.28
WASIR2,5,1.534,0.9,1.8,1.1,0.56
WDR97,9,-2.404,0.9,-2.8,2.24,1.09
YEATS2.AS1,9,-1.76,0.9,-1.9,1.2,0.61
YPEL3.DT,5,0.904,0.9,1.1,0.53,0.27
ZBTB44.DT,5,1.364,0.9,1.6,0.96,0.49
ZKSCAN2.DT,9,-1.314,0.9,-1.4,0.82,0.42
ZNF221,7,-0.052,0.9,-0.1,0.02,0.01
ZNF462,20,1.808,0.9,1.9,1.25,0.63
ZNF593OS,12,-3.854,0.9,-4.4,5.03,2.5
ZNF727,10,0.17,0.9,0.2,0.07,0.03
ZNF774,6,-1.629,0.9,-1.9,1.24,0.63
ZRANB2.AS1,18,-2.005,0.9,-2.2,1.51,0.76
ZSCAN23,8,0.131,0.9,0.1,0.05,0.02
ABALON,41,-0.631,0.8,-0.8,0.39,0.2
ABCC2,17,-1.237,0.8,-1.5,0.84,0.43
ABCG2,20,1.2,0.8,1.5,0.86,0.44
ABHD1,5,0.325,0.8,0.4,0.16,0.07
ABHD16B,9,-1.128,0.8,-1.5,0.85,0.44
ABO,53,-0.874,0.8,-1.1,0.54,0.27
ACAD9.DT,7,-1.511,0.8,-1.8,1.13,0.58
ADAMTS1,26,-1.191,0.8,-1.5,0.88,0.45
ADAMTS4,10,-0.611,0.8,-0.7,0.33,0.16
ADAMTSL4.AS1,30,-1.953,0.8,-2.6,1.97,0.97
ADORA1,9,-0.733,0.8,-1,0.47,0.24
AGAP9,21,-1.001,0.8,-1.2,0.63,0.32
AHNAK2,14,-0.445,0.8,-0.6,0.24,0.11
AIF1L,5,0.209,0.8,0.3,0.1,0.04
AMZ1,8,-0.514,0.8,-0.6,0.26,0.13
ANKRD10.IT1,16,-1.867,0.8,-2.3,1.71,0.85
ANKRD34B,8,-1.312,0.8,-1.6,0.95,0.49
ANKRD36BP1,40,-0.06,0.8,-0.1,0.03,0.01
ANXA3,12,0.762,0.8,1,0.48,0.25
APBB2,24,0.047,0.8,0.1,0.02,0.01
APOBEC3B,86,1.697,0.8,2.1,1.46,0.74
APOL4,39,-0.041,0.8,-0.1,0.02,0.01
ARHGEF10,24,-1.003,0.8,-1.3,0.71,0.36
ARHGEF17,9,-0.171,0.8,-0.2,0.08,0.04
ARMC3,15,-1.565,0.8,-1.9,1.25,0.63
ASAH2,22,1.294,0.8,1.5,0.9,0.46
ASB16,9,-1.352,0.8,-1.7,1.01,0.52
ASIC1,7,1.948,0.8,2.4,1.83,0.91
ASMTL.1,210,0.468,0.8,0.6,0.24,0.12
ATP13A4,17,1.044,0.8,1.3,0.69,0.35
ATXN7L3.AS1,24,-1.024,0.8,-1.3,0.75,0.38
AVIL,11,-0.95,0.8,-1.2,0.64,0.33
AZU1,9,0.07,0.8,0.1,0.03,0.01
B3GALT2,56,-0.154,0.8,-0.2,0.07,0.03
B4GALNT3,49,0.218,0.8,0.3,0.1,0.05
BCO2,10,-0.218,0.8,-0.3,0.1,0.05
BEND7,7,-0.972,0.8,-1.3,0.7,0.36
BIRC5,116,2.209,0.8,2.8,2.36,1.15
BMP8A,19,-1.153,0.8,-1.5,0.84,0.43
BNIPL,9,-2.577,0.8,-3.2,2.82,1.35
BTN1A1,5,0.959,0.8,1.2,0.63,0.32
C1orf116,20,-1.328,0.8,-1.7,1.03,0.53
C1RL.AS1,26,-0.815,0.8,-1,0.52,0.26
C4BPB,6,0.548,0.8,0.7,0.31,0.15
C7orf25,39,-0.46,0.8,-0.6,0.26,0.13
C9orf43,6,-0.828,0.8,-1.1,0.54,0.27
CABP4,15,-0.524,0.8,-0.7,0.31,0.15
CALHM5,15,-0.852,0.8,-1.1,0.55,0.28
CAMP,9,-0.97,0.8,-1.2,0.66,0.34
CARMIL3,12,-0.739,0.8,-0.9,0.42,0.21
CATSPERB,6,-0.651,0.8,-0.8,0.4,0.2
CAV1,26,1.312,0.8,1.7,1.06,0.54
CAV2,36,-0.79,0.8,-1,0.48,0.25
CCDC26,11,-1.095,0.8,-1.4,0.81,0.41
CCDC68,6,0.125,0.8,0.2,0.06,0.03
CD24,538,1.967,0.8,2.5,1.93,0.95
CD99P1.1,26,0.536,0.8,0.7,0.29,0.14
CDC25A,20,2.146,0.8,2.6,2.09,1.02
CDKL3,12,0.704,0.8,0.9,0.45,0.23
CENPF,79,1.151,0.8,1.5,0.89,0.46
CEP55,58,2.417,0.8,3.1,2.74,1.31
CEP83.DT,5,0.777,0.8,1,0.51,0.26
CES1,1175,-0.494,0.8,-0.6,0.28,0.14
CFAP157,7,1.123,0.8,1.3,0.73,0.37
CFAP251,6,-1.474,0.8,-1.8,1.12,0.57
CFAP418.AS1,5,-1.082,0.8,-1.3,0.72,0.37
CHILL1,5,-0.638,0.8,-0.8,0.36,0.18
CHODL,7,0.666,0.8,0.9,0.41,0.2
CHRNA2,10,-0.955,0.8,-1.1,0.6,0.31
CICP14,18,-1.672,0.8,-2.1,1.42,0.72
